age,workclass,education,marital-status,occupation,relationship,race,hours-per-week,native-country,income
19,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,20,United-States,low
31,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,40,United-States,low
32,Private,Assoc-acdm,Never-married,Adm-clerical,Not-in-family,White,40,United-States,low
39,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,40,United-States,high
30,Private,Assoc-voc,Married-civ-spouse,Sales,Husband,White,45,United-States,high
45,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,45,United-States,high
29,Private,11th,Never-married,Craft-repair,Not-in-family,White,45,United-States,low
62,?,Assoc-voc,Married-civ-spouse,?,Husband,White,40,United-States,low
50,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,40,United-States,low
51,Private,Some-college,Divorced,Sales,Not-in-family,White,45,United-States,high
29,Private,11th,Divorced,Craft-repair,Unmarried,White,52,United-States,low
40,Private,Bachelors,Divorced,Adm-clerical,Not-in-family,Black,40,United-States,low
37,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,54,United-States,high
58,Private,Assoc-voc,Divorced,Adm-clerical,Not-in-family,White,60,United-States,low
69,Federal-gov,Masters,Divorced,Prof-specialty,Not-in-family,White,5,United-States,low
25,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,30,United-States,low
55,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,58,United-States,low
46,Private,HS-grad,Married-civ-spouse,Craft-repair,Wife,White,40,United-States,high
55,Private,Assoc-acdm,Divorced,Adm-clerical,Unmarried,White,40,United-States,low
23,Private,7th-8th,Never-married,Machine-op-inspct,Own-child,White,40,United-States,low
34,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,40,United-States,high
49,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,45,United-States,high
33,Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,50,United-States,low
32,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,55,United-States,high
39,Local-gov,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,40,United-States,low
43,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,50,United-States,low
34,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,60,United-States,high
48,Private,HS-grad,Divorced,Other-service,Not-in-family,White,40,United-States,low
59,Private,7th-8th,Married-civ-spouse,Protective-serv,Husband,White,40,Puerto-Rico,low
23,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,10,United-States,low
46,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,40,United-States,high
42,Self-emp-not-inc,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,60,United-States,high
46,Self-emp-inc,Assoc-voc,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,63,Thailand,low
31,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,40,United-States,low
18,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,40,United-States,low
22,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,50,United-States,low
27,Local-gov,Assoc-acdm,Never-married,Adm-clerical,Unmarried,Black,40,United-States,low
34,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,40,Germany,low
55,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,40,United-States,high
64,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,20,United-States,low
52,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Black,40,United-States,high
43,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,21,United-States,low
47,Private,HS-grad,Divorced,Other-service,Own-child,Black,40,United-States,low
68,Private,HS-grad,Never-married,Sales,Not-in-family,White,30,United-States,low
20,?,HS-grad,Never-married,?,Not-in-family,White,40,United-States,low
28,Private,Bachelors,Never-married,Craft-repair,Not-in-family,Black,60,United-States,low
38,Private,HS-grad,Divorced,Prof-specialty,Not-in-family,White,45,United-States,low
43,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,46,United-States,low
32,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,40,Italy,low
33,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Black,40,United-States,high
33,Private,9th,Divorced,Machine-op-inspct,Not-in-family,White,35,United-States,low
28,Private,9th,Married-civ-spouse,Machine-op-inspct,Wife,White,40,United-States,low
46,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,45,United-States,high
42,Private,HS-grad,Married-spouse-absent,Adm-clerical,Not-in-family,White,52,United-States,low
56,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,65,United-States,high
44,Federal-gov,Some-college,Divorced,Adm-clerical,Unmarried,Black,40,United-States,low
33,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,50,United-States,low
41,Private,5th-6th,Married-civ-spouse,Handlers-cleaners,Husband,White,40,Guatemala,low
24,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,40,United-States,low
29,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,40,United-States,low
52,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,40,United-States,low
23,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,60,United-States,low
60,Private,1st-4th,Married-civ-spouse,Craft-repair,Husband,White,40,Mexico,high
52,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,Other,40,Jamaica,high
29,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,40,United-States,high
31,Self-emp-not-inc,10th,Never-married,Transport-moving,Not-in-family,White,60,United-States,low
59,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,Black,40,United-States,low
26,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,40,United-States,low
43,Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,44,United-States,low
60,Private,7th-8th,Separated,Priv-house-serv,Unmarried,Black,15,United-States,low
41,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,60,United-States,high
33,Self-emp-not-inc,11th,Married-civ-spouse,Exec-managerial,Husband,White,70,United-States,low
51,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,40,United-States,high
38,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,63,United-States,high
27,State-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,Black,40,United-States,low
45,Private,Masters,Divorced,Exec-managerial,Unmarried,White,70,United-States,high
61,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,50,United-States,low
37,Private,Some-college,Divorced,Transport-moving,Not-in-family,White,70,United-States,low
20,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,40,United-States,low
23,Private,Some-college,Never-married,Adm-clerical,Own-child,White,30,United-States,low
17,Private,11th,Never-married,Other-service,Own-child,White,30,United-States,low
38,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,40,United-States,high
48,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,40,United-States,high
44,Local-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,40,United-States,high
55,Local-gov,12th,Widowed,Adm-clerical,Not-in-family,White,40,United-States,low
27,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,40,United-States,low
64,?,Bachelors,Married-civ-spouse,?,Husband,White,40,United-States,high
38,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,40,United-States,low
41,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,40,Peru,low
30,State-gov,Bachelors,Never-married,Exec-managerial,Own-child,White,40,United-States,low
35,Private,Assoc-acdm,Never-married,Transport-moving,Not-in-family,Black,30,Jamaica,low
30,Private,Assoc-voc,Never-married,Other-service,Not-in-family,White,41,United-States,low
47,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Wife,White,45,United-States,high
56,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,40,United-States,low
49,Private,Bachelors,Married-civ-spouse,Handlers-cleaners,Husband,White,40,United-States,high
27,Private,10th,Married-civ-spouse,Other-service,Wife,Black,30,United-States,low
41,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,40,United-States,low
42,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,50,United-States,low
48,Self-emp-not-inc,HS-grad,Divorced,Prof-specialty,Not-in-family,White,15,United-States,low
41,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,50,United-States,low
33,Private,Assoc-acdm,Married-spouse-absent,Craft-repair,Not-in-family,White,20,United-States,low
43,Private,Assoc-acdm,Never-married,Adm-clerical,Not-in-family,White,38,United-States,low
31,Private,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,35,United-States,low
40,Federal-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,40,United-States,high
57,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,40,United-States,low
32,Self-emp-not-inc,HS-grad,Never-married,Other-service,Not-in-family,White,60,United-States,low
36,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,40,United-States,high
33,Self-emp-not-inc,Bachelors,Never-married,Tech-support,Own-child,White,40,United-States,low
70,Private,Some-college,Divorced,Farming-fishing,Not-in-family,Asian-Pac-Islander,40,Vietnam,low
28,Private,Some-college,Never-married,Farming-fishing,Not-in-family,White,40,United-States,low
38,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Black,40,United-States,low
38,Private,11th,Divorced,Sales,Unmarried,White,40,United-States,low
48,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,40,United-States,high
50,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,20,United-States,high
27,Federal-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,White,50,United-States,low
37,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,40,United-States,low
22,Private,Some-college,Never-married,Other-service,Own-child,White,25,United-States,low
42,Private,HS-grad,Divorced,Handlers-cleaners,Unmarried,White,40,United-States,low
42,Private,Some-college,Divorced,Tech-support,Not-in-family,White,40,United-States,low
36,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,40,Puerto-Rico,high
27,Federal-gov,Bachelors,Never-married,Transport-moving,Other-relative,White,35,United-States,low
50,Private,Assoc-acdm,Divorced,Craft-repair,Unmarried,White,40,United-States,low
32,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,36,United-States,low
70,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,6,United-States,low
18,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,40,United-States,low
38,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,40,United-States,high
66,?,Some-college,Divorced,?,Other-relative,White,35,United-States,low
30,Private,Bachelors,Never-married,Prof-specialty,Own-child,Black,40,?,low
57,State-gov,Bachelors,Divorced,Machine-op-inspct,Not-in-family,Black,39,United-States,low
63,Private,HS-grad,Never-married,Exec-managerial,Own-child,White,40,United-States,low
35,Private,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,45,United-States,high
28,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,40,United-States,low
20,Private,11th,Never-married,Craft-repair,Not-in-family,White,60,United-States,low
26,Private,Some-college,Never-married,Craft-repair,Unmarried,White,40,Mexico,low
33,Private,Assoc-voc,Never-married,Machine-op-inspct,Unmarried,Black,40,United-States,low
28,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,40,United-States,low
30,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,40,United-States,low
21,Private,Some-college,Never-married,Other-service,Own-child,White,40,United-States,low
24,Private,Some-college,Never-married,Protective-serv,Own-child,White,24,?,low
30,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,40,United-States,low
19,Local-gov,HS-grad,Never-married,Craft-repair,Own-child,White,40,United-States,low
39,Private,Some-college,Married-civ-spouse,Sales,Husband,White,50,United-States,high
48,Local-gov,Bachelors,Separated,Prof-specialty,Unmarried,White,45,United-States,low
21,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Black,40,United-States,low
64,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,40,United-States,high
49,Private,Some-college,Separated,Exec-managerial,Unmarried,Black,60,United-States,low
38,Private,HS-grad,Never-married,Prof-specialty,Not-in-family,White,40,United-States,low
37,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,70,?,low
47,State-gov,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,50,United-States,low
52,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,40,United-States,low
50,Private,5th-6th,Divorced,Other-service,Not-in-family,White,37,Cuba,low
38,Private,Bachelors,Never-married,Other-service,Own-child,White,35,United-States,low
49,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,48,United-States,low
27,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,45,United-States,low
32,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,45,United-States,low
36,Private,10th,Divorced,Sales,Own-child,White,40,United-States,low
27,Private,Some-college,Married-civ-spouse,Sales,Husband,White,50,United-States,low
35,State-gov,HS-grad,Married-civ-spouse,Other-service,Wife,White,40,United-States,low
29,Local-gov,HS-grad,Never-married,Protective-serv,Unmarried,White,45,United-States,low
38,Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,55,United-States,low
28,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,42,United-States,low
22,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,40,United-States,low
32,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,40,United-States,high
49,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,40,United-States,low
49,State-gov,Some-college,Never-married,Adm-clerical,Not-in-family,White,40,United-States,low
25,Private,Bachelors,Married-civ-spouse,Exec-managerial,Own-child,White,40,United-States,low
39,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,50,United-States,low
28,Private,HS-grad,Never-married,Craft-repair,Own-child,White,70,United-States,low
46,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,72,United-States,high
57,Self-emp-not-inc,Masters,Married-civ-spouse,Prof-specialty,Husband,White,40,United-States,high
37,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,40,United-States,high
29,Private,HS-grad,Never-married,Other-service,Not-in-family,White,38,United-States,low
46,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,50,United-States,high
37,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,55,United-States,low
63,Private,7th-8th,Married-civ-spouse,Transport-moving,Husband,White,44,United-States,high
19,Private,Some-college,Never-married,Sales,Own-child,White,25,United-States,low
28,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Black,40,United-States,low
33,Private,11th,Never-married,Adm-clerical,Not-in-family,White,35,United-States,low
68,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,20,United-States,low
27,State-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,40,United-States,low
44,State-gov,Some-college,Separated,Tech-support,Own-child,Black,40,United-States,low
56,Private,9th,Married-civ-spouse,Sales,Husband,White,40,United-States,low
53,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,50,United-States,high
58,Private,Masters,Divorced,Prof-specialty,Not-in-family,White,20,United-States,low
51,Federal-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,40,Vietnam,high
37,State-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,40,United-States,low
18,Private,11th,Never-married,Other-service,Own-child,White,16,United-States,low
21,Private,Some-college,Never-married,Other-service,Own-child,Asian-Pac-Islander,20,United-States,low
40,Local-gov,Some-college,Never-married,Protective-serv,Not-in-family,White,40,United-States,high
45,Self-emp-inc,Bachelors,Married-civ-spouse,Machine-op-inspct,Husband,White,60,United-States,high
73,?,HS-grad,Married-civ-spouse,?,Husband,White,15,United-States,low
34,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,Black,40,United-States,low
33,State-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,40,United-States,low
23,Private,7th-8th,Never-married,Craft-repair,Other-relative,White,36,United-States,low
39,State-gov,HS-grad,Divorced,Other-service,Unmarried,Black,40,United-States,low
53,Private,HS-grad,Married-civ-spouse,Other-service,Husband,Black,40,United-States,low
45,Private,5th-6th,Married-civ-spouse,Transport-moving,Husband,White,38,Mexico,low
23,Local-gov,Bachelors,Never-married,Prof-specialty,Own-child,White,40,United-States,low
58,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,45,United-States,low
24,Private,12th,Never-married,Craft-repair,Own-child,White,32,United-States,low
17,?,10th,Never-married,?,Own-child,White,40,United-States,low
47,Self-emp-not-inc,Masters,Married-civ-spouse,Prof-specialty,Wife,White,20,United-States,high
35,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,40,United-States,low
31,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,40,United-States,high
39,Private,Bachelors,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,24,Philippines,low
23,?,Assoc-acdm,Married-civ-spouse,?,Husband,White,40,El-Salvador,low
43,Private,HS-grad,Divorced,Exec-managerial,Unmarried,White,40,United-States,low
25,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,40,United-States,low
47,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,40,United-States,high
35,Private,Some-college,Divorced,Machine-op-inspct,Unmarried,Black,55,United-States,low
25,Private,11th,Married-spouse-absent,Handlers-cleaners,Not-in-family,White,40,Mexico,low
31,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,40,United-States,low
71,?,5th-6th,Married-civ-spouse,?,Husband,White,10,United-States,low
24,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,40,United-States,low
21,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,20,Germany,low
20,Private,Some-college,Never-married,Other-service,Own-child,White,15,United-States,low
47,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,40,United-States,high
31,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,40,United-States,high
50,Self-emp-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,70,United-States,low
48,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,48,United-States,low
47,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,40,United-States,low
77,Self-emp-not-inc,Bachelors,Widowed,Prof-specialty,Not-in-family,White,20,United-States,low
49,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,40,United-States,low
47,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Husband,White,40,United-States,low
39,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,40,United-States,high
72,Private,1st-4th,Divorced,Other-service,Not-in-family,Black,40,United-States,low
22,Private,Some-college,Divorced,Machine-op-inspct,Own-child,White,40,United-States,low
50,Self-emp-inc,Some-college,Separated,Exec-managerial,Unmarried,White,75,United-States,low
19,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,37,United-States,low
18,Never-worked,10th,Never-married,?,Own-child,White,40,United-States,low
37,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,50,United-States,low
38,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,40,United-States,low
38,Private,Some-college,Married-civ-spouse,Sales,Wife,White,40,United-States,low
27,Private,HS-grad,Never-married,Sales,Not-in-family,White,40,Puerto-Rico,low
19,?,HS-grad,Never-married,?,Own-child,White,12,United-States,low
27,Private,11th,Married-civ-spouse,Machine-op-inspct,Husband,White,40,United-States,low
29,Federal-gov,HS-grad,Divorced,Exec-managerial,Not-in-family,Other,40,United-States,low
39,Private,HS-grad,Married-civ-spouse,Prof-specialty,Wife,Black,40,United-States,low
29,Private,Bachelors,Never-married,Sales,Not-in-family,White,60,United-States,low
38,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,45,United-States,low
39,Local-gov,Assoc-voc,Married-civ-spouse,Protective-serv,Husband,White,48,United-States,high
63,Private,7th-8th,Married-civ-spouse,Sales,Husband,White,40,United-States,low
25,?,11th,Divorced,?,Unmarried,White,40,United-States,low
46,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,40,United-States,high
62,Federal-gov,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,40,United-States,high
22,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,40,United-States,low
42,State-gov,Some-college,Separated,Tech-support,Unmarried,White,40,United-States,low
74,Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,28,United-States,low
45,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Black,48,?,low
37,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,40,United-States,high
26,Private,Some-college,Married-spouse-absent,Craft-repair,Other-relative,Black,35,Dominican-Republic,low
63,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,20,United-States,low
33,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,45,United-States,high
33,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,50,United-States,low
34,Self-emp-inc,Bachelors,Divorced,Sales,Unmarried,White,40,United-States,low
37,Federal-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,40,?,high
24,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,40,United-States,low
65,Self-emp-not-inc,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,40,United-States,low
41,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,40,United-States,high
18,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Wife,White,40,United-States,low
46,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,55,United-States,high
45,Federal-gov,Bachelors,Married-civ-spouse,Handlers-cleaners,Husband,White,40,United-States,low
33,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,40,United-States,high
45,Private,Some-college,Married-civ-spouse,Sales,Husband,White,45,United-States,low
49,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,50,United-States,high
37,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,White,40,United-States,low
55,Private,12th,Divorced,Machine-op-inspct,Not-in-family,White,40,Italy,low
