age,workclass,education-num,occupation,sex,capital-gain,capital-loss,hours-per-week,income
43,Private,10,Other-service,Male,0,0,40,low
55,Private,9,Craft-repair,Male,0,0,40,low
43,Federal-gov,13,Sales,Male,0,0,60,low
67,Private,5,Handlers-cleaners,Female,0,0,32,low
53,Local-gov,9,Exec-managerial,Female,0,0,50,high
81,?,15,?,Male,0,0,24,high
47,Private,9,Machine-op-inspct,Male,0,0,40,low
47,Private,4,Craft-repair,Male,0,0,40,low
21,Private,9,Other-service,Female,0,0,35,low
26,Private,13,Tech-support,Female,0,0,40,low
30,Self-emp-inc,13,Craft-repair,Male,0,0,40,high
55,Private,10,Other-service,Female,0,0,35,low
53,Private,10,Craft-repair,Male,0,0,40,low
19,Private,10,Other-service,Female,0,0,20,low
35,Private,13,Sales,Female,8614,0,45,high
51,Private,13,Sales,Male,0,0,55,high
22,Private,8,Handlers-cleaners,Male,0,0,40,low
47,Private,9,Craft-repair,Male,0,625,40,low
35,Self-emp-not-inc,9,Exec-managerial,Male,0,0,60,low
32,Private,9,Exec-managerial,Male,3103,0,55,high
19,?,13,?,Female,0,0,40,low
34,Self-emp-not-inc,10,Craft-repair,Male,0,0,40,low
45,Self-emp-not-inc,6,Craft-repair,Male,0,0,40,low
23,Private,12,Other-service,Male,0,0,25,low
56,Private,13,Prof-specialty,Female,0,0,50,low
43,Self-emp-not-inc,13,Prof-specialty,Female,0,0,35,low
30,Private,9,Other-service,Female,0,0,30,low
31,Local-gov,9,Adm-clerical,Female,0,0,40,low
25,Private,9,Handlers-cleaners,Female,0,0,40,low
41,Private,12,Prof-specialty,Male,0,0,80,low
23,Private,13,Sales,Female,0,0,25,low
27,Private,13,Prof-specialty,Male,2202,0,52,low
28,Private,11,Craft-repair,Male,0,0,50,low
46,Private,10,Sales,Female,0,0,40,low
38,Private,9,Sales,Male,0,0,70,high
51,Private,9,Exec-managerial,Male,0,0,40,low
44,Self-emp-not-inc,10,Exec-managerial,Female,0,0,40,low
32,Private,3,Craft-repair,Male,0,0,60,low
50,Private,9,Exec-managerial,Male,0,0,50,high
65,Private,11,Transport-moving,Male,0,0,20,low
19,Private,9,Handlers-cleaners,Male,0,0,16,low
35,Private,9,Craft-repair,Male,0,0,55,low
56,Local-gov,10,Adm-clerical,Female,0,0,35,low
25,Self-emp-not-inc,9,Sales,Male,0,0,50,low
27,Local-gov,10,Protective-serv,Female,0,0,40,low
19,?,10,?,Male,0,0,30,low
29,Private,8,Craft-repair,Male,0,0,40,low
28,Private,9,Exec-managerial,Male,0,0,50,low
24,Private,8,Craft-repair,Male,0,0,40,low
46,Local-gov,14,Prof-specialty,Female,0,0,43,low
31,Private,9,Adm-clerical,Male,0,0,40,low
33,Private,13,Machine-op-inspct,Male,0,0,40,low
52,Local-gov,11,Protective-serv,Male,0,0,40,high
40,Private,13,Transport-moving,Male,0,0,45,low
58,Local-gov,9,Transport-moving,Male,0,0,48,low
29,Private,9,Adm-clerical,Female,0,0,18,low
52,Private,9,Adm-clerical,Female,7688,0,40,high
30,Private,9,Exec-managerial,Male,0,1876,45,low
42,Private,9,Craft-repair,Male,0,0,40,low
42,Private,10,Sales,Male,0,0,45,high
23,Private,10,Machine-op-inspct,Male,0,1902,40,low
31,Private,12,Adm-clerical,Female,0,0,41,low
32,Private,10,Tech-support,Female,0,0,40,low
40,Self-emp-not-inc,5,Other-service,Female,0,0,20,low
51,Private,9,Machine-op-inspct,Female,0,0,40,low
46,Private,11,Transport-moving,Male,0,0,60,low
28,Private,12,Tech-support,Male,0,0,45,high
30,Private,9,Craft-repair,Male,0,0,35,low
65,?,9,?,Male,2346,0,40,low
22,Private,10,Other-service,Male,0,0,25,low
48,Private,13,Exec-managerial,Male,0,0,40,high
22,Private,8,Transport-moving,Male,0,0,30,low
44,Private,9,Sales,Female,0,0,60,low
28,Private,13,Prof-specialty,Female,0,1564,40,high
20,?,10,?,Female,0,1602,40,low
71,Self-emp-inc,10,Exec-managerial,Male,20051,0,50,high
55,Self-emp-not-inc,6,Craft-repair,Male,0,0,18,low
18,Self-emp-inc,6,Other-service,Male,0,0,16,low
45,Private,7,Other-service,Female,0,0,20,low
25,Local-gov,13,Prof-specialty,Male,0,0,60,low
22,Private,10,Farming-fishing,Male,0,0,25,low
43,Private,9,Transport-moving,Male,0,0,40,low
43,Private,12,Prof-specialty,Male,0,0,30,low
34,Private,3,Handlers-cleaners,Male,0,0,40,low
39,Federal-gov,13,Exec-managerial,Female,0,0,40,low
37,State-gov,13,Prof-specialty,Male,0,0,55,high
44,Private,9,Tech-support,Male,0,0,45,high
30,Private,9,Other-service,Female,0,0,45,low
25,Private,9,Handlers-cleaners,Male,0,0,35,low
54,Private,9,Sales,Female,0,0,35,low
29,Private,9,Machine-op-inspct,Male,0,0,40,low
52,Self-emp-not-inc,9,Farming-fishing,Male,0,0,70,low
43,Private,10,Adm-clerical,Male,0,0,45,low
33,Private,9,Sales,Male,0,1672,55,low
46,Private,9,Prof-specialty,Female,0,0,40,low
23,Private,10,Other-service,Male,0,0,40,low
40,Private,12,Exec-managerial,Male,0,0,40,high
57,Private,5,Craft-repair,Male,0,0,40,high
33,Private,7,Transport-moving,Male,0,0,60,low
37,Self-emp-not-inc,14,Prof-specialty,Female,0,1887,15,high
66,Private,10,Sales,Male,5556,0,40,high
25,Private,10,Exec-managerial,Female,0,1504,45,low
32,Private,9,Craft-repair,Male,0,0,48,low
22,Private,9,Other-service,Male,0,2205,40,low
58,Private,9,Sales,Female,0,0,40,low
47,Private,2,Machine-op-inspct,Male,0,0,40,low
38,Private,13,Sales,Male,0,0,40,high
47,Federal-gov,9,Adm-clerical,Female,0,0,40,low
20,Private,10,Adm-clerical,Male,0,0,25,low
19,Private,9,Handlers-cleaners,Male,0,0,40,low
46,Private,10,Exec-managerial,Male,0,0,60,high
19,Private,7,Handlers-cleaners,Male,0,0,30,low
35,Private,9,Adm-clerical,Male,0,0,36,low
36,Private,10,Exec-managerial,Female,0,0,40,high
22,?,10,?,Male,0,0,40,low
22,Private,9,Adm-clerical,Male,0,0,20,low
21,Private,10,Other-service,Female,0,0,20,low
32,Private,13,Prof-specialty,Female,0,0,40,low
45,Local-gov,16,Prof-specialty,Female,0,0,40,high
38,Private,10,Exec-managerial,Male,0,0,80,high
29,Private,10,Sales,Female,0,0,25,low
36,Private,11,Machine-op-inspct,Male,0,0,40,low
20,Self-emp-not-inc,10,Craft-repair,Female,0,0,35,low
22,Private,13,Exec-managerial,Male,2202,0,4,low
34,Local-gov,9,Prof-specialty,Female,0,0,35,low
34,Private,10,Exec-managerial,Female,0,1887,40,high
17,Private,6,Sales,Female,0,0,15,low
42,Private,11,Adm-clerical,Female,0,0,35,low
24,Private,9,Other-service,Male,0,0,37,low
35,Private,13,Exec-managerial,Male,0,0,50,low
66,Self-emp-inc,10,Prof-specialty,Male,0,0,40,low
56,Private,10,Adm-clerical,Male,0,0,35,low
38,Private,3,Machine-op-inspct,Male,0,0,48,low
70,Private,9,Adm-clerical,Female,0,0,5,low
28,?,9,?,Male,0,0,40,low
27,Private,9,Adm-clerical,Female,0,0,40,low
29,Private,14,Sales,Male,0,0,65,low
52,Private,9,Other-service,Female,0,0,20,low
50,Private,10,Adm-clerical,Male,0,0,45,high
27,Private,9,Sales,Male,0,0,50,low
18,Private,6,Other-service,Female,0,0,3,low
41,Local-gov,13,Prof-specialty,Male,0,0,20,low
44,Self-emp-not-inc,9,Exec-managerial,Male,0,0,40,low
26,State-gov,13,Prof-specialty,Male,0,0,15,low
37,Private,13,Handlers-cleaners,Male,0,0,40,low
33,Private,9,Sales,Female,0,0,45,low
26,Private,7,Other-service,Female,2407,0,36,low
65,Local-gov,7,Transport-moving,Male,0,0,35,low
49,Self-emp-not-inc,5,Craft-repair,Male,0,0,40,low
47,Private,9,Sales,Female,0,0,45,low
63,Self-emp-not-inc,9,Farming-fishing,Male,0,0,45,low
62,Self-emp-not-inc,9,Farming-fishing,Male,0,0,65,low
35,Private,12,Sales,Male,0,0,60,low
32,Local-gov,9,Transport-moving,Female,4064,0,22,low
27,Private,10,Farming-fishing,Male,0,0,45,low
37,Private,9,Craft-repair,Male,14344,0,40,high
26,Private,9,Adm-clerical,Female,0,0,40,high
32,Private,13,Sales,Male,0,0,40,low
32,Private,11,Other-service,Female,0,0,40,low
70,Private,10,Exec-managerial,Female,0,0,12,low
64,Private,9,Exec-managerial,Male,0,0,20,low
42,Private,10,Prof-specialty,Male,15024,0,32,high
62,Private,2,Priv-house-serv,Female,0,0,30,low
21,State-gov,10,Tech-support,Female,0,0,20,low
62,Local-gov,14,Prof-specialty,Female,8614,0,45,high
49,Private,5,Other-service,Male,0,0,40,low
56,Private,9,Adm-clerical,Female,0,0,35,low
43,Private,13,Sales,Male,0,0,50,low
63,Private,10,Exec-managerial,Male,0,0,35,high
20,Private,10,Craft-repair,Male,0,0,40,low
40,Private,10,Exec-managerial,Female,0,0,55,low
52,Private,11,Exec-managerial,Male,0,1977,45,high
61,Self-emp-not-inc,16,Prof-specialty,Male,0,0,40,high
81,Private,14,Prof-specialty,Male,0,0,60,low
50,Private,9,Craft-repair,Male,0,0,40,low
41,Private,13,Transport-moving,Male,0,0,48,low
30,Self-emp-not-inc,9,Craft-repair,Male,0,0,40,low
18,Private,9,Sales,Female,0,0,25,low
24,Private,13,Farming-fishing,Male,0,0,35,high
60,Private,9,Other-service,Male,0,0,40,low
34,Private,9,Transport-moving,Male,0,0,40,low
35,Self-emp-inc,9,Other-service,Male,0,0,50,low
45,Private,9,Priv-house-serv,Female,0,0,25,low
32,Private,2,Exec-managerial,Male,0,0,21,low
76,Local-gov,5,Other-service,Male,0,0,30,low
18,Private,9,Sales,Female,0,0,15,low
41,Private,14,Exec-managerial,Male,0,0,40,high
37,Private,10,Machine-op-inspct,Male,0,1887,40,high
31,Private,12,Sales,Male,4386,0,45,high
28,?,10,?,Female,0,0,15,high
28,Local-gov,12,Adm-clerical,Female,0,1980,40,low
36,Private,9,Handlers-cleaners,Male,0,0,60,high
65,Federal-gov,10,Adm-clerical,Male,0,1944,20,low
36,Private,6,Craft-repair,Male,0,0,40,low
23,Self-emp-not-inc,7,Craft-repair,Male,0,0,50,low
37,Private,13,Sales,Male,0,0,50,low
40,Federal-gov,13,Protective-serv,Male,0,0,40,low
30,Local-gov,9,Handlers-cleaners,Male,0,0,25,low
39,Private,13,Prof-specialty,Female,0,0,30,high
31,Private,13,Adm-clerical,Male,0,0,60,low
25,Private,9,Adm-clerical,Female,0,0,38,low
49,Private,16,Prof-specialty,Male,0,0,50,high
61,Private,4,Transport-moving,Male,0,0,40,low
31,Local-gov,9,Protective-serv,Male,0,0,45,low
27,Private,2,Other-service,Male,0,0,35,low
57,?,10,?,Male,0,0,40,low
36,Self-emp-not-inc,13,Farming-fishing,Male,0,0,50,low
18,?,10,?,Female,0,0,40,low
64,Self-emp-not-inc,4,Farming-fishing,Male,0,0,60,low
28,Private,9,Machine-op-inspct,Male,2885,0,40,low
49,Self-emp-not-inc,9,Sales,Male,0,0,40,low
18,Private,7,Other-service,Male,0,0,15,low
43,Federal-gov,11,Prof-specialty,Male,3103,0,40,high
34,Local-gov,11,Protective-serv,Male,0,0,40,low
44,Private,10,Exec-managerial,Male,0,0,45,high
51,Private,9,Machine-op-inspct,Female,0,0,40,low
41,Private,13,Exec-managerial,Male,0,0,40,low
67,Self-emp-not-inc,9,Prof-specialty,Female,0,0,20,low
28,Private,9,Exec-managerial,Male,0,0,55,low
18,Private,4,Sales,Male,0,0,30,low
72,?,9,?,Male,0,0,1,low
66,Private,14,Sales,Male,0,0,40,low
61,Local-gov,14,Prof-specialty,Female,0,0,30,low
21,Private,9,Sales,Female,0,0,40,low
30,Private,9,Craft-repair,Male,0,0,40,low
52,Without-pay,9,Adm-clerical,Female,0,0,30,low
30,Private,9,Machine-op-inspct,Male,3942,0,40,low
60,Local-gov,13,Protective-serv,Male,7298,0,48,high
42,Federal-gov,11,Exec-managerial,Male,0,323,40,low
61,Local-gov,4,Adm-clerical,Male,2885,0,40,low
45,Private,10,Sales,Male,0,0,45,low
70,Private,4,Other-service,Female,0,0,35,low
49,Self-emp-not-inc,7,Exec-managerial,Male,0,0,65,low
50,State-gov,14,Prof-specialty,Male,0,0,60,high
33,Self-emp-not-inc,13,Sales,Male,0,0,45,high
38,Private,9,Sales,Male,0,0,80,low
33,Private,3,Farming-fishing,Male,0,0,40,low
49,Private,7,Machine-op-inspct,Male,0,0,40,low
52,Private,9,Machine-op-inspct,Male,0,0,40,high
38,Self-emp-not-inc,16,Prof-specialty,Male,0,0,50,high
60,Self-emp-inc,13,Prof-specialty,Male,7688,0,40,high
38,Private,13,Adm-clerical,Female,0,213,40,low
44,Self-emp-inc,10,Exec-managerial,Male,0,0,50,low
19,Private,9,Craft-repair,Male,0,0,45,low
17,Private,6,Other-service,Male,0,0,40,low
45,State-gov,10,Adm-clerical,Female,0,0,40,high
58,Private,3,Machine-op-inspct,Male,0,0,40,low
36,Private,10,Adm-clerical,Male,0,0,60,low
42,Local-gov,10,Exec-managerial,Male,15024,0,40,high
46,Private,12,Exec-managerial,Male,0,0,40,high
32,Private,10,Adm-clerical,Female,0,0,40,low
28,Private,10,Machine-op-inspct,Female,0,0,40,low
45,Private,12,Adm-clerical,Male,0,0,35,low
40,Private,9,Other-service,Female,0,0,36,low
50,Private,6,Other-service,Male,0,0,40,low
26,Private,9,Farming-fishing,Male,0,0,40,low
41,Local-gov,9,Prof-specialty,Female,0,0,40,low
20,Private,10,Tech-support,Male,0,0,40,low
49,Private,12,Sales,Male,0,0,45,high
32,Private,10,Other-service,Female,0,0,38,low
45,Private,3,Machine-op-inspct,Male,0,0,40,low
48,Private,10,Exec-managerial,Female,0,1669,38,low
18,?,7,?,Male,0,0,15,low
42,Private,9,Sales,Male,0,0,50,low
47,Local-gov,10,Protective-serv,Male,0,0,50,low
45,Self-emp-inc,13,Exec-managerial,Male,0,0,45,high
47,Private,9,Transport-moving,Male,0,0,50,low
31,Self-emp-not-inc,10,Craft-repair,Male,0,0,40,low
30,Private,9,Transport-moving,Male,0,0,40,low
65,Self-emp-not-inc,10,Exec-managerial,Male,2290,0,40,low
35,Federal-gov,9,Adm-clerical,Female,0,0,40,low
30,Self-emp-not-inc,10,Craft-repair,Male,0,0,35,low
42,Private,9,Protective-serv,Male,0,0,35,low
58,Self-emp-inc,10,Sales,Male,0,1977,50,high
61,?,9,?,Male,0,2603,32,low
52,Private,3,Craft-repair,Female,4101,0,40,low
44,Private,4,Craft-repair,Male,0,0,35,low
39,Private,10,Machine-op-inspct,Male,0,0,40,low
29,Private,9,Adm-clerical,Male,0,0,37,low
28,Private,13,Adm-clerical,Male,0,1887,40,high
40,Private,14,Exec-managerial,Male,0,0,50,high
41,Private,9,Craft-repair,Female,0,0,40,low
38,Private,13,Exec-managerial,Male,0,0,50,high
62,Private,10,Sales,Male,0,0,40,high
39,Self-emp-not-inc,5,Farming-fishing,Male,0,0,40,low
26,Private,9,Craft-repair,Male,0,0,40,high
35,Private,13,Other-service,Female,0,0,24,low
37,Federal-gov,10,Adm-clerical,Male,0,0,40,low
50,Self-emp-inc,10,Exec-managerial,Female,0,0,75,low
22,Private,9,Sales,Female,0,0,37,low
39,Private,13,Handlers-cleaners,Female,0,0,37,low
59,Self-emp-not-inc,6,Exec-managerial,Male,0,0,36,low
32,Private,13,Exec-managerial,Female,0,0,40,high
40,Private,13,Prof-specialty,Female,0,0,5,low
55,Private,13,Prof-specialty,Male,0,0,40,high
52,Self-emp-inc,10,Adm-clerical,Female,0,0,40,high
25,Private,9,Machine-op-inspct,Male,0,0,40,low
36,Private,14,Sales,Male,7688,0,50,high
47,State-gov,13,Prof-specialty,Male,0,0,45,high
25,Private,6,Transport-moving,Male,2597,0,50,low
34,Private,9,Farming-fishing,Male,0,0,60,high
20,Private,10,Sales,Female,0,0,20,low
44,Local-gov,11,Farming-fishing,Male,0,0,40,low
23,Private,10,Craft-repair,Male,0,0,40,low
22,?,10,?,Male,0,0,40,low
37,Private,10,Exec-managerial,Female,0,0,40,high
49,Self-emp-not-inc,15,Prof-specialty,Male,99999,0,35,high
26,Private,13,Priv-house-serv,Female,0,0,35,low
28,Private,3,Craft-repair,Male,0,0,40,low
58,Private,8,Craft-repair,Male,0,0,40,low
50,Private,4,Craft-repair,Male,0,0,40,low
56,Self-emp-inc,9,Exec-managerial,Female,0,0,21,low
27,Private,11,Exec-managerial,Male,0,0,40,low
18,Private,10,Sales,Male,0,0,20,low
52,Private,9,Sales,Male,0,0,60,high
29,Federal-gov,9,Tech-support,Male,0,0,40,high
35,Self-emp-not-inc,13,Exec-managerial,Female,0,0,55,low
28,Self-emp-not-inc,9,Craft-repair,Male,0,0,45,low
34,Local-gov,10,Exec-managerial,Male,0,0,40,low
36,Private,9,Handlers-cleaners,Male,0,0,40,low
40,Private,8,Craft-repair,Male,0,0,40,low
28,Local-gov,16,Prof-specialty,Female,0,0,40,low
51,Private,10,Sales,Male,0,0,40,high
81,Self-emp-inc,9,Sales,Female,0,0,40,low
23,Private,13,Adm-clerical,Male,0,0,40,low
22,Private,10,Tech-support,Female,0,0,40,low
19,Private,9,Other-service,Male,0,0,30,low
44,Private,9,Craft-repair,Male,0,0,40,low
53,Private,9,Other-service,Female,0,1573,40,low
46,Private,13,Machine-op-inspct,Female,0,1602,8,low
81,Private,4,Exec-managerial,Female,0,0,2,low
51,Self-emp-inc,15,Prof-specialty,Male,0,0,40,high
38,State-gov,13,Prof-specialty,Female,0,0,40,low
34,?,6,?,Male,0,0,40,low
22,Private,10,Adm-clerical,Male,0,0,20,low
20,?,10,?,Female,0,0,35,low
46,Private,9,Transport-moving,Male,0,0,46,high
35,Self-emp-not-inc,9,Farming-fishing,Male,0,0,80,high
45,Private,9,Machine-op-inspct,Male,0,0,40,low
40,Private,11,Prof-specialty,Female,0,0,20,low
48,Private,9,Exec-managerial,Female,0,0,40,low
46,State-gov,10,Prof-specialty,Female,1506,0,50,low
30,Private,9,Craft-repair,Male,0,1848,40,high
52,Private,9,Adm-clerical,Female,0,0,40,low
24,Private,13,Exec-managerial,Female,0,0,40,low
48,Private,10,Sales,Male,0,0,40,high
40,Private,4,Machine-op-inspct,Male,0,0,40,low
40,Private,8,Craft-repair,Male,0,0,40,low
76,Local-gov,10,Adm-clerical,Female,0,0,30,low
40,Self-emp-not-inc,10,Craft-repair,Male,0,0,60,low
30,Private,9,Protective-serv,Male,0,0,40,low
53,Private,9,Handlers-cleaners,Female,0,0,40,low
26,Private,9,Transport-moving,Male,0,0,52,high
45,Private,13,Craft-repair,Male,0,0,72,high
62,Private,13,Machine-op-inspct,Male,0,0,40,low
61,Local-gov,2,Other-service,Male,0,0,40,low
37,Self-emp-not-inc,10,Sales,Female,0,0,40,low
68,Local-gov,11,Exec-managerial,Male,0,0,24,low
40,Private,9,Other-service,Female,0,0,40,low
45,Private,13,Exec-managerial,Male,0,0,40,high
41,Private,9,Craft-repair,Male,0,0,40,high
19,Self-emp-not-inc,5,Prof-specialty,Male,0,0,35,low
55,Private,13,Adm-clerical,Male,0,0,40,high
19,Private,10,Other-service,Female,0,0,18,low
43,Private,10,Sales,Female,0,0,35,low
36,Private,10,Craft-repair,Male,0,0,40,low
33,Private,8,Other-service,Female,0,0,50,low
38,Private,7,Sales,Female,0,0,40,low
19,State-gov,10,Prof-specialty,Male,0,0,10,low
17,?,5,?,Male,0,0,20,low
18,Private,10,Adm-clerical,Female,0,0,10,low
59,Private,9,Sales,Male,0,0,40,low
37,Private,4,Craft-repair,Male,0,0,50,low
33,Private,9,Machine-op-inspct,Male,3464,0,40,low
80,Self-emp-not-inc,9,Other-service,Male,0,0,30,low
51,Private,11,Tech-support,Male,0,0,40,high
