Ownership Type,County,City,Province,Postcode,Timezone,area_code,Latitude,Longitude
Company Owned,东城区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.94,116.4
Company Owned,大兴区,北京市,11,102600,GMT+08:00 Asia/Beijing,,39.78,116.53
Company Owned,东城区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.91,116.41
Company Owned,东城区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.9,116.42
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.93,116.46
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.91,116.48
Company Owned,顺义区,北京市,11,101300,GMT+08:00 Asia/Beijing,010,40.08,116.59
Company Owned,东城区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.92,116.41
Company Owned,崇文区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.9,116.4
Company Owned,丰台区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.86,116.44
Company Owned,海淀区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,40.04,116.31
Company Owned,西城区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.96,116.38
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,40.0,116.49
Company Owned,光耀东方广场一层103单元,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.9,116.32
Company Owned,丰台区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.87,116.31
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.88,116.49
Company Owned,西城区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.91,116.37
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.96,116.47
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.91,116.45
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.95,116.55
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.91,116.46
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,40.0,116.49
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.93,116.45
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.99,116.48
Company Owned,东城区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.9,116.43
Company Owned,海淀区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.95,116.32
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.92,116.45
Company Owned,海淀区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.91,116.3
Company Owned,西城区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.93,116.36
Company Owned,海淀区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.98,116.32
Company Owned,丰台区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.87,116.43
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,40.03,116.42
Company Owned,宣武区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.9,116.38
Company Owned,北京市,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.89,116.46
Company Owned,密云县,北京市,11,101500,GMT+08:00 Asia/Beijing,,40.65,117.28
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.91,116.44
Company Owned,丰台区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.89,116.27
Company Owned,通州区,北京市,11,101100,GMT+08:00 Asia/Beijing,,39.91,116.64
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,40.02,116.47
Company Owned,西城区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.91,116.35
Company Owned,东城区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.87,116.39
Company Owned,大兴区,北京市,11,102600,GMT+08:00 Asia/Beijing,,39.69,116.32
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.91,116.46
Company Owned,西城区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.91,116.37
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,40.04,116.51
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.92,116.46
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.91,116.47
Company Owned,丰台区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.82,116.37
Company Owned,顺义区,北京市,11,101300,GMT+08:00 Asia/Beijing,,40.09,116.53
Company Owned,西城区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.91,116.36
Company Owned,东城区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.91,116.41
Company Owned,东城区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.92,116.42
Company Owned,西城区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.93,116.39
Company Owned,丰台区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.87,116.38
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.92,116.45
Company Owned,西城区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.91,116.36
Company Owned,东城区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.9,116.42
Company Owned,海淀区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.91,116.3
Company Owned,通州区,北京市,11,101100,GMT+08:00 Asia/Beijing,010,39.88,116.67
Company Owned,海淀区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.98,116.31
Company Owned,东城区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.97,116.41
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.98,116.48
Company Owned,大兴区,北京市,11,102600,GMT+08:00 Asia/Beijing,,39.79,116.33
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.92,116.46
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.94,116.45
Company Owned,经济技术开发区,北京市,11,100100,GMT+08:00 Asia/Beijing,010,39.81,116.5
Company Owned,顺义区,北京市,11,101300,GMT+08:00 Asia/Beijing,010,40.06,116.62
Company Owned,通州区,北京市,11,101100,GMT+08:00 Asia/Beijing,,39.89,116.66
Company Owned,东城区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.92,116.43
Company Owned,西城区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.87,116.36
Company Owned,潮阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.96,116.46
Company Owned,西城区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.92,116.37
Company Owned,房山区,北京市,11,102400,GMT+08:00 Asia/Beijing,010,39.74,116.14
Company Owned,海淀区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.91,116.28
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.92,116.44
Company Owned,西城区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.89,116.34
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.92,116.46
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.99,116.41
Company Owned,海淀区,北京市,11,100000,GMT+08:00 Asia/Beijing,,40.03,116.35
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.96,116.46
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.92,116.52
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,40.06,116.62
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.93,116.46
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.91,116.45
Company Owned,丰台区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.84,116.39
Company Owned,丰台区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.86,116.38
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.93,116.52
Company Owned,东城区,北京市,11,100000,GMT+08:00 Asia/Beijing,1085197361,39.92,116.43
Company Owned,海淀区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.96,116.29
Company Owned,海淀区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.98,116.32
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.91,116.47
Company Owned,海淀区,北京市,11,100000,GMT+08:00 Asia/Beijing,,40.05,116.3
Company Owned,石景山区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.92,116.17
Company Owned,丰台区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.88,116.3
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.91,116.49
Company Owned,海淀区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.96,116.29
Company Owned,海淀区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.98,116.31
Company Owned,东城区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.91,116.41
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.91,116.44
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.97,116.45
Company Owned,丰台区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.86,116.38
Company Owned,海淀区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,40.0,116.35
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.91,116.47
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.91,116.48
Company Owned,顺义区,北京市,11,101300,GMT+08:00 Asia/Beijing,,40.09,116.54
Company Owned,大兴区,北京市,11,102600,GMT+08:00 Asia/Beijing,,39.77,116.36
Company Owned,海淀区,北京市,11,100000,GMT+08:00 Asia/Beijing,,40.05,116.3
Company Owned,丰台区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.82,116.29
Company Owned,海淀区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.98,116.32
Company Owned,大兴区,北京市,11,102600,GMT+08:00 Asia/Beijing,010,39.79,116.34
Company Owned,西城区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.92,116.36
Company Owned,东城区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.94,116.44
Company Owned,东城区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.92,116.42
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.97,116.44
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.96,116.46
Company Owned,丰台区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.87,116.29
Company Owned,顺义区,北京市,11,101300,GMT+08:00 Asia/Beijing,010,40.06,116.55
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.95,116.46
Company Owned,怀柔区,北京市,11,101400,GMT+08:00 Asia/Beijing,,40.32,116.63
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.95,116.48
Company Owned,海淀区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.99,116.34
Company Owned,丰台区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.86,116.38
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.92,116.44
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.99,116.41
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.92,116.52
Company Owned,海淀区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.98,116.33
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.99,116.41
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.97,116.46
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.92,116.46
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.92,116.46
Company Owned,北京市,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.91,116.23
Company Owned,海淀区,北京市,11,100000,GMT+08:00 Asia/Beijing,,40.05,116.3
Company Owned,北京市,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.81,116.46
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.92,116.46
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.91,116.47
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.91,116.48
Company Owned,海淀区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,40.0,116.29
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.89,116.48
Company Owned,丰台区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.84,116.29
Company Owned,丰台区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.83,116.29
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.92,116.45
Company Owned,海淀区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,40.03,116.33
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,40.0,116.39
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.95,116.46
Company Owned,海淀区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.98,116.31
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,40.0,116.47
Company Owned,昌平区,北京市,11,102200,GMT+08:00 Asia/Beijing,,40.06,116.42
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.96,116.46
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,40.06,116.62
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.91,116.46
Company Owned,北京市,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.94,116.43
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.91,116.46
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.95,116.46
Company Owned,西城区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.92,116.36
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.91,116.46
Company Owned,崇文区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.9,116.42
Company Owned,西城区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.89,116.38
Company Owned,丰台区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.87,116.38
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,40.05,116.43
Company Owned,西城区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.91,116.36
Company Owned,东城区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.89,116.42
Company Owned,东城区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.97,116.41
Company Owned,西城区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.91,116.35
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.97,116.49
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.93,116.45
Company Owned,海淀区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.95,116.36
Company Owned,西城区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.92,116.36
Company Owned,房山区,北京市,11,102400,GMT+08:00 Asia/Beijing,010,39.76,116.19
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,40.01,116.38
Company Owned,昌平区,北京市,11,102200,GMT+08:00 Asia/Beijing,,40.23,116.19
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.9,116.46
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.92,116.44
Company Owned,顺义区,北京市,11,101300,GMT+08:00 Asia/Beijing,,40.05,116.56
Company Owned,海淀区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.93,116.32
Company Owned,顺义区,北京市,11,101300,GMT+08:00 Asia/Beijing,,40.13,116.65
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.91,116.46
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.99,116.48
Company Owned,房山区,北京市,11,102400,GMT+08:00 Asia/Beijing,,39.76,116.16
Company Owned,石景山区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.9,116.25
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,40.06,116.61
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.92,116.49
Company Owned,丰台区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.86,116.45
Company Owned,东城区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.9,116.42
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.98,116.48
Company Owned,西城区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.94,116.35
Company Owned,顺义区,北京市,11,101300,GMT+08:00 Asia/Beijing,010,40.08,116.61
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.98,116.46
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.93,116.6
Company Owned,东城区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.91,116.41
Company Owned,昌平区,北京市,11,102200,GMT+08:00 Asia/Beijing,,40.07,116.35
Company Owned,海淀区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.94,116.33
Company Owned,顺义区,北京市,11,101300,GMT+08:00 Asia/Beijing,010,40.08,116.61
Company Owned,西城区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.91,116.37
Company Owned,北京市,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.92,116.6
Company Owned,昌平区,北京市,11,102200,GMT+08:00 Asia/Beijing,,40.04,116.4
Company Owned,海淀区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.99,116.33
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.96,116.44
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.91,116.48
Company Owned,海淀区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.96,116.29
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.94,116.45
Company Owned,顺义区,北京市,11,101300,GMT+08:00 Asia/Beijing,010,40.08,116.59
Company Owned,丰台区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.84,116.38
Company Owned,大兴区,北京市,11,102600,GMT+08:00 Asia/Beijing,,39.79,116.51
Company Owned,西城区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.91,116.35
Company Owned,昌平区,北京市,11,102200,GMT+08:00 Asia/Beijing,010,40.06,116.41
Company Owned,大兴区,北京市,11,102600,GMT+08:00 Asia/Beijing,,39.73,116.34
Company Owned,东城区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.95,116.42
Company Owned,西城区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.9,116.39
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.99,116.47
Company Owned,顺义区,北京市,11,101300,GMT+08:00 Asia/Beijing,010,40.07,116.55
Company Owned,亿丰大街南侧汉王路西侧,廊坊市,11,65201,GMT+08:00 Asia/Beijing,,39.97,116.82
Company Owned,高新区,廊坊市,11,65201,GMT+08:00 Asia/Beijing,,39.95,116.86
Company Owned,河北区新纬路1 号,天津市,12,300100,GMT+08:00 Asia/Beijing,022,39.14,117.21
Company Owned,河东区,天津市,12,300100,GMT+08:00 Asia/Beijing,,39.14,117.21
Company Owned,空港经济开发区,天津市,12,300000,GMT+08:00 Asia/Beijing,,39.16,117.43
Company Owned,东丽区,天津市,12,300300,GMT+08:00 Asia/Beijing,,39.13,117.36
Company Owned,河东区,天津市,12,300100,GMT+08:00 Asia/Beijing,,39.13,117.22
Company Owned,和平区,天津市,12,300000,GMT+08:00 Asia/Beijing,,39.12,117.18
Company Owned,南开区,天津市,12,300100,GMT+08:00 Asia/Beijing,022,39.14,117.18
Company Owned,南开区,天津市,12,300100,GMT+08:00 Asia/Beijing,022,39.14,117.19
Company Owned,和平区,天津市,12,300000,GMT+08:00 Asia/Beijing,022,39.12,117.21
Company Owned,滨海新区,天津市,12,300400,GMT+08:00 Asia/Beijing,,39.01,117.68
Company Owned,经济技术开发区时尚东路29号,天津市,12,300400,GMT+08:00 Asia/Beijing,022,39.03,117.73
Company Owned,河西区,天津市,12,300200,GMT+08:00 Asia/Beijing,022,39.1,117.22
Company Owned,南开区,天津市,12,300100,GMT+08:00 Asia/Beijing,022,39.14,117.17
Company Owned,和平区,天津市,12,300000,GMT+08:00 Asia/Beijing,,39.12,117.2
Company Owned,经济技术开发区,天津市,12,300400,GMT+08:00 Asia/Beijing,022,39.02,117.7
Company Owned,河东区,天津市,12,300100,GMT+08:00 Asia/Beijing,,39.14,117.22
Company Owned,和平区,天津市,12,300000,GMT+08:00 Asia/Beijing,022,39.12,117.2
Company Owned,河西区,天津市,12,300200,GMT+08:00 Asia/Beijing,022,39.09,117.21
Company Owned,和平区,天津市,12,300000,GMT+08:00 Asia/Beijing,,39.13,117.21
Company Owned,和平区,天津市,12,300000,GMT+08:00 Asia/Beijing,,39.12,117.2
Company Owned,红桥区,天津市,12,300100,GMT+08:00 Asia/Beijing,022,39.15,117.17
Company Owned,和平区,天津市,12,300000,GMT+08:00 Asia/Beijing,,39.12,117.2
Company Owned,南开区,天津市,12,300100,GMT+08:00 Asia/Beijing,022,39.11,117.16
Company Owned,河西区,天津市,12,300200,GMT+08:00 Asia/Beijing,022,39.08,117.21
Company Owned,滨海新区,天津市,12,300400,GMT+08:00 Asia/Beijing,,39.0,117.7
Company Owned,滨海新区,天津市,12,300400,GMT+08:00 Asia/Beijing,,39.02,117.67
Company Owned,南开区,天津市,12,300100,GMT+08:00 Asia/Beijing,022,39.08,117.17
Company Owned,河北区,天津市,12,300100,GMT+08:00 Asia/Beijing,,39.18,117.21
Company Owned,南开区,天津市,12,300100,GMT+08:00 Asia/Beijing,,39.09,117.12
Company Owned,小白楼开封道54号1层及2层No.54,天津市,12,300000,GMT+08:00 Asia/Beijing,022,39.12,117.22
Company Owned,河西区,天津市,12,300200,GMT+08:00 Asia/Beijing,,39.1,117.2
Company Owned,和平区,天津市,12,300000,GMT+08:00 Asia/Beijing,022,39.12,117.22
Company Owned,和平区,天津市,12,300000,GMT+08:00 Asia/Beijing,022,39.12,117.19
Company Owned,西青经济技术开发区,天津市,12,300000,GMT+08:00 Asia/Beijing,,39.02,117.22
Company Owned,河西区,天津市,12,300200,GMT+08:00 Asia/Beijing,022,39.1,117.24
Company Owned,南京路75号天津国际大厦一层,天津市,12,300000,GMT+08:00 Asia/Beijing,022,39.12,117.21
Company Owned,新意大利风情街自由道60-62号,天津市,12,300000,GMT+08:00 Asia/Beijing,022,39.14,117.2
Company Owned,武清区,天津市,12,301700,GMT+08:00 Asia/Beijing,,39.38,117.01
Company Owned,武清区,天津市,12,301700,GMT+08:00 Asia/Beijing,,39.37,117.07
Company Owned,南开区,天津市,12,300100,GMT+08:00 Asia/Beijing,022,39.14,117.18
Company Owned,河西区,天津市,12,300200,GMT+08:00 Asia/Beijing,022,39.09,117.21
Company Owned,河东区,天津市,12,300100,GMT+08:00 Asia/Beijing,022,39.12,117.26
Company Owned,和平区,天津市,12,300000,GMT+08:00 Asia/Beijing,022,39.11,117.2
Company Owned,河西区,天津市,12,300200,GMT+08:00 Asia/Beijing,,39.11,117.22
Company Owned,西青区,天津市,12,300300,GMT+08:00 Asia/Beijing,,39.14,117.09
Company Owned,空港经济区,天津市,12,300000,GMT+08:00 Asia/Beijing,,39.16,117.4
Company Owned,河西区,天津市,12,300200,GMT+08:00 Asia/Beijing,022,39.11,117.22
Company Owned,河西区,天津市,12,300200,GMT+08:00 Asia/Beijing,022,39.06,117.22
Company Owned,和平区,天津市,12,300000,GMT+08:00 Asia/Beijing,022,39.12,117.19
Company Owned,西青经济开发区,天津市,12,300000,GMT+08:00 Asia/Beijing,022,39.03,117.22
Company Owned,和平区,天津市,12,300000,GMT+08:00 Asia/Beijing,,39.13,117.18
Company Owned,南开区,天津市,12,300100,GMT+08:00 Asia/Beijing,,39.14,117.19
Company Owned,泰达开发区,天津市,12,300400,GMT+08:00 Asia/Beijing,022,39.03,117.69
Company Owned,和平区,天津市,12,300000,GMT+08:00 Asia/Beijing,,39.13,117.19
Company Owned,津南区,天津市,12,300300,GMT+08:00 Asia/Beijing,,38.99,117.39
Company Owned,南开区,天津市,12,300100,GMT+08:00 Asia/Beijing,,39.08,117.17
Company Owned,西青区,天津市,12,300300,GMT+08:00 Asia/Beijing,,39.04,117.22
Company Owned,和平区,天津市,12,300000,GMT+08:00 Asia/Beijing,,39.13,117.2
Company Owned,新市区,保定市,13,71000,GMT+08:00 Asia/Beijing,0312,38.87,115.47
Company Owned,南市区,保定市,13,071000,GMT+08:00 Asia/Beijing,0312,38.86,115.49
